Symbol,Date,Open,High,Low,Close,Adj Close,Volume,SMA50,SMA100,Signal,Entry/Exit,EMA 50 dias,EMA 200 dias,RSI,Variation
NVR,2000-03-22,51.81,54.69,51.62,54.56,54.56,23200,45.8674,,0.0,0.0,46.07991440431426,46.273147973646694,90.59011164274322,0.05429951690821255
NVR,2000-03-23,54.31,54.44,54.12,54.12,54.12,25700,45.99980000000001,,0.0,0.0,46.39521187865488,46.35122610326215,87.40279937791598,-0.008064516129032362
NVR,2000-03-24,54.12,54.25,53.75,53.81,53.81,10200,46.1198,,0.0,0.0,46.68598788341351,46.425442758951085,87.40279937791604,-0.005728011825572699
NVR,2000-03-27,53.56,53.56,53.0,53.12,53.12,18500,46.2046,,0.0,0.0,46.93830208406396,46.49205526881227,82.39329268292681,-0.01282289537260739
NVR,2000-03-28,53.0,53.0,51.75,52.06,52.06,19900,46.2696,,0.0,0.0,47.13915298272812,46.54745770394847,77.54662840746053,-0.019954819277108293
NVR,2000-03-29,51.75,51.88,51.62,51.81,51.81,20100,46.35080000000001,,0.0,0.0,47.32232345399368,46.5998213088843,77.60229720028717,-0.004802151363811014
NVR,2000-03-30,51.62,55.75,51.62,54.0,54.0,50400,46.47580000000001,,0.0,0.0,47.58419312246452,46.67345492770138,79.85797288573275,0.042269832078749126
NVR,2000-03-31,54.75,57.0,53.5,54.0,54.0,121500,46.59080000000001,,0.0,0.0,47.835793392171794,46.746355873694405,80.53385416666669,0.0
NVR,2000-04-03,54.25,54.5,54.12,54.25,54.25,16000,46.7046,,0.0,0.0,48.08733090620427,46.82101899932929,82.10800260247234,0.004629629629629539
NVR,2000-04-04,54.0,55.25,54.0,54.44,54.44,100000,46.81839999999999,,0.0,0.0,48.33645518439234,46.89682975555487,82.11963589076723,0.0035023041474653294
NVR,2000-04-05,54.25,54.94,54.12,54.88,54.88,22200,46.931,,0.0,0.0,48.593064785004415,46.97626428535034,82.61694058154235,0.008082292432035398
NVR,2000-04-06,55.12,55.88,55.12,55.81,55.81,13300,47.074799999999996,,0.0,0.0,48.87608185225915,47.0641621531578,81.11263736263737,0.016946064139941708
NVR,2000-04-07,55.88,56.75,55.44,55.88,55.88,74000,47.25,,0.0,0.0,49.1507453090333,47.15188193272837,76.85185185185186,0.001254255509765212
NVR,2000-04-10,55.81,55.81,55.38,55.38,55.38,53300,47.43,,0.0,0.0,49.39502980671827,47.23375375429327,71.44112478031636,-0.008947745168217613
NVR,2000-04-11,55.5,55.5,55.0,55.0,55.0,6800,47.625,,0.0,0.0,49.614832559395985,47.311029836340104,65.46146527117031,-0.006861682918021028
NVR,2000-04-12,54.75,55.0,54.5,54.81,54.81,48000,47.8236,,0.0,0.0,49.81856461589026,47.38564645488398,51.584283903675534,-0.003454545454545377
NVR,2000-04-13,54.75,54.81,54.62,54.75,54.75,13500,48.026199999999996,,0.0,0.0,50.01195423879653,47.45892360458663,54.19440745672439,-0.0010946907498632363
NVR,2000-04-14,54.5,54.75,53.75,53.81,53.81,42400,48.2148,,0.0,0.0,50.160897209824114,47.52211839459075,50.0,-0.01716894977168948
NVR,2000-04-17,53.75,53.75,52.75,52.75,52.75,35000,48.3636,,0.0,0.0,50.262430652576114,47.57413711703263,47.826086956521756,-0.019698940717338798
NVR,2000-04-18,52.62,52.75,52.12,52.75,52.75,26100,48.501000000000005,,0.0,0.0,50.35998239169078,47.62563824024623,54.63087248322147,0.0
NVR,2000-04-19,52.5,52.88,52.5,52.81,52.81,12100,48.6396,,0.0,0.0,50.45606151358526,47.67722392939801,56.887052341597794,0.0011374407582938062
NVR,2000-04-20,52.81,53.19,52.62,53.19,53.19,14600,48.8196,,0.0,0.0,50.563274787562314,47.73207742263783,42.56880733944952,0.007195606892633988
NVR,2000-04-24,53.19,53.88,53.12,53.62,53.62,12100,49.047,,0.0,0.0,50.68314636452065,47.79066371693994,46.76870748299317,0.008084226358338054
NVR,2000-04-25,53.75,53.75,53.31,53.5,53.5,8000,49.266999999999996,,0.0,0.0,50.79361121297083,47.847473033189296,43.47826086956522,-0.0022379709063781172
NVR,2000-04-26,55.0,59.25,55.0,59.0,59.0,177500,49.592,,0.0,0.0,51.115430381089624,47.95844345076951,70.61482820976492,0.10280373831775691
NVR,2000-04-27,58.62,59.5,58.38,59.0,59.0,30300,49.904399999999995,,0.0,0.0,51.42462918967434,48.06830968509021,69.39736346516007,0.0
NVR,2000-04-28,58.88,63.31,58.81,62.0,62.0,69900,50.266799999999996,,0.0,0.0,51.83934961360868,48.20693346931817,74.3892828999212,0.05084745762711873
NVR,2000-05-01,62.5,63.62,62.5,63.25,63.25,130900,50.64939999999999,,0.0,0.0,52.286826099349526,48.356615723354814,76.56813266041817,0.02016129032258074
NVR,2000-05-02,63.25,65.0,62.0,62.0,62.0,296200,51.0256,,0.0,0.0,52.66773487976719,48.492370790784115,72.64021887824897,-0.01976284584980237
NVR,2000-05-03,61.62,61.62,60.62,61.0,61.0,63800,51.38799999999999,,0.0,0.0,52.99449037467828,48.61682481276636,69.68503937007875,-0.016129032258064502
NVR,2000-05-04,61.25,62.0,61.0,61.62,61.62,23300,51.7504,,0.0,0.0,53.33274565410266,48.74620964050003,71.7294192724952,0.010163934426229426
NVR,2000-05-05,61.75,63.25,61.62,62.5,62.5,44700,52.108000000000004,,0.0,0.0,53.69224582453001,48.88306327591794,73.49909035779261,0.01428107757221686
NVR,2000-05-08,62.12,63.38,61.75,62.31,62.31,156700,52.4718,,0.0,0.0,54.03019696866609,49.016664636356566,77.0012706480305,-0.0030399999999999316
NVR,2000-05-09,62.19,62.75,62.19,62.62,62.62,11800,52.841800000000006,,0.0,0.0,54.36705198950271,49.152021207139086,82.92194796531022,0.004975124378109319
NVR,2000-05-10,62.5,62.56,62.31,62.38,62.38,45900,53.20700000000001,,0.0,0.0,54.68128524481633,49.283642886670044,81.61523309258048,-0.0038326413286489114
